annotation,xmin,ymin,xmax,ymax,y,x,length,width,lat,lon,geometry
0,1340.0,850.0,1386.0,892.0,1363.0,871.0,27.47,25.08,37.26829996029838,23.280477240819916,POINT (23.28047724081992 37.26829996029838)
1,1285.0,836.0,1330.0,879.0,1307.5,857.5,26.87,25.68,37.26833973176992,23.280181822373407,POINT (23.28018182237341 37.26833973176992)
2,1238.0,824.0,1282.0,867.0,1260.0,845.5,26.28,25.68,37.26837626993877,23.27992872046099,POINT (23.27992872046099 37.26837626993877)
3,1187.0,811.0,1232.0,855.0,1209.5,833.0,26.87,26.28,37.2684136705809,23.27965978733305,POINT (23.27965978733305 37.2684136705809)
4,1136.0,751.0,1181.0,796.0,1158.5,773.5,26.87,26.87,37.268714160994556,23.279360188393127,POINT (23.27936018839313 37.26871416099456)
5,1082.0,782.0,1126.0,827.0,1104.0,804.5,26.28,26.87,37.268505178386285,23.279096531658148,POINT (23.27909653165815 37.26850517838628)
6,1330.0,899.0,1378.0,945.0,1354.0,922.0,28.67,27.47,37.26800830627863,23.280461110169675,POINT (23.28046111016968 37.26800830627863)
7,1278.0,884.0,1320.0,928.0,1299.0,906.0,25.08,26.28,37.268062413282,23.280166786747785,POINT (23.28016678674778 37.268062413282)
8,1219.0,869.0,1260.0,912.0,1239.5,890.5,24.49,25.68,37.26811080824428,23.279849463205675,POINT (23.27984946320568 37.26811080824428)
9,1169.0,858.0,1215.0,904.0,1192.0,881.0,27.47,27.47,37.268133335856334,23.279597854629003,POINT (23.279597854629 37.26813333585633)
10,1119.0,842.0,1163.0,888.0,1141.0,865.0,26.28,27.47,37.26819002997571,23.27932424180381,POINT (23.27932424180381 37.26819002997571)
11,1070.0,828.0,1115.0,874.0,1092.5,851.0,26.87,27.47,37.268237131729485,23.279064767713187,POINT (23.27906476771319 37.26823713172949)
12,1033.0,765.0,1074.0,810.0,1053.5,787.5,24.49,26.87,37.2685677998842,23.278824910696354,POINT (23.27882491069635 37.2685677998842)
13,1020.0,813.0,1066.0,861.0,1043.0,837.0,27.47,28.67,37.26828358699095,23.278800116196063,POINT (23.27880011619606 37.26828358699095)
14,957.0,850.0,1005.0,898.0,981.0,874.0,28.67,28.67,37.268036129982974,23.278501210381645,POINT (23.27850121038164 37.26803612998297)
15,976.0,753.0,1022.0,797.0,999.0,775.0,27.47,26.28,37.26860261472441,23.27853526789747,POINT (23.27853526789747 37.26860261472441)
16,928.0,750.0,974.0,792.0,951.0,771.0,27.47,25.08,37.268593994745686,23.27828435675214,POINT (23.27828435675214 37.26859399474569)
17,922.0,795.0,964.0,838.0,943.0,816.5,25.08,25.68,37.26833381766028,23.27827011611216,POINT (23.27827011611216 37.26833381766028)
18,974.0,803.0,1017.0,848.0,995.5,825.5,25.68,26.87,37.26831732437476,23.278547313274736,POINT (23.27854731327474 37.26831732437476)
19,1139.0,1043.0,1183.0,1089.0,1161.0,1066.0,26.28,27.47,37.26707644585245,23.279547861102678,POINT (23.27954786110268 37.26707644585245)
20,1189.0,1052.0,1232.0,1098.0,1210.5,1075.0,25.68,27.47,37.26705801146641,23.279809527120513,POINT (23.27980952712051 37.26705801146641)
21,1135.0,1096.0,1178.0,1141.0,1156.5,1118.5,25.68,26.87,37.26677929547938,23.27955592189098,POINT (23.27955592189098 37.26677929547938)
22,1182.0,1099.0,1227.0,1144.0,1204.5,1121.5,26.87,26.87,37.26679351816139,23.279806237837462,POINT (23.27980623783746 37.26679351816139)
23,716.0,1272.0,808.0,1347.0,762.0,1309.5,54.94,44.79,37.26545376565976,23.277627438643556,POINT (23.27762743864356 37.26545376565976)
24,827.0,1260.0,905.0,1350.0,866.0,1305.0,46.58,53.75,37.26554622089319,23.278163223300922,POINT (23.27816322330092 37.26554622089319)
25,922.0,1255.0,1010.0,1338.0,966.0,1296.5,52.55,49.57,37.26565851058619,23.2786759080837,POINT (23.2786759080837 37.26565851058619)
26,1029.0,1249.0,1111.0,1333.0,1070.0,1291.0,48.97,50.16,37.265756574804584,23.279211094680427,POINT (23.27921109468043 37.26575657480458)
